まる	circle	http://www.thingiverse.com/download:342867	○ 丸 ● まる マル 円 。 0 Mar マーレーズ 回る	100	1
ほし	star	http://www.thingiverse.com/download:343147	星 ほし hoshi ホシ star ほーしー ★ ☆ お寿司 もし 本誌 欲しい 帽子 惜しい 私 忍 1 おせ おしり OC 欲しい 奉仕 講師 	100	1
さんかく	triangle	http://www.thingiverse.com/download:343245	さんかく 三角 参画 ▽ ▲ 三画 △ 3 酒 3月 	100	1
しかく	square	http://www.thingiverse.com/download:343260	しかく 四角 視覚 □ 資格 死角 信託 新刊 私  したー シーカー シーパーク 失格 強いか ■ 近く スイカップ シーカー9 Seekerくる	100	1
ハート	heart	http://www.thingiverse.com/download:342930	ハート はーと heart RT アート	100	1
スペード	spade	http://www.thingiverse.com/download:343137	スペード すぺーど spade 程度 ステード スケートstayed  制度 瀬戸 Raid エード	100	1
ダイヤ	dia	http://www.thingiverse.com/download:342906	ダイヤ ダイア だいあ だいや dia ファイヤー 平 ◇ 大 ガイア たーい 大家 いいよ カーリヤ 大谷  	100	1
ウサギのかお	rabbit	http://www.thingiverse.com/download:343102	うさぎのかお ウサギの顔 ウサギのかお うさぎの顔 ウサギノカオ ウサギ買う ウサギいいのかを 先の顔 参議院子 うさぎ ウサギ	100	1
ゾウのかお	elephant	http://www.thingiverse.com/download:342912	ゾウの顔 ぞうのかお ゾウのかお 象の顔 ぞうの顔 ぞうのカオ 朝の ゾーンのを 朝の子 今日の顔  総合 朝顔 ジョン 造顔 5 そうな顔 ぞうのか	100	1
ワニのかお	crocodile	http://www.thingiverse.com/download:342886	わにのかお ワニのかお ワニの顔 わにの顔 ワニのカオ 議員間 バーニング ランニング 笑いの warning バーニーのを バニーの顔 バーニーの顔 何かの ワニノコ 牧野薫 兄の顔 何の顔 割の顔 割の買おう 笑いの買おう 悪いのかを	100	1
きりん	Giraffe	http://www.thingiverse.com/download:342926	樹林 きりん キリン 麒麟 kirin 希林 tdl チーリン チリーン keedieん CD ケニー・レイボーン PDF 温泉 CDM CD-ROM Cdn Tdl CDM シーズン 今 イーリン TV きりりん	200	0
ぞう	Elephant	http://www.thingiverse.com/download:342913	象 ぞう ゾウ エレファント elephant zou 蔵王 ぞお 今日 ゾーン 朝 10 と 総合 ゾーブ 徹 大 ソール どう ゾン そう ぞーん 像 	200	0
いぬ	Dog	http://www.thingiverse.com/download:342907	犬 いぬ ゐぬ イヌ dog inu 戌 狗 居ぬ 射ぬ 入ぬ 鋳ぬ いいね 	200	0
ねこ	Cat	http://www.thingiverse.com/download:342852	猫 ねこ ネコ cat neko neco 根子 (=^・^=) (=^・・^=) =^_^= えーおー 明光 女子 連行	200	0
ラクダ	Camel	http://www.thingiverse.com/download:342845	ラクダ らくだ camel 楽だ 樂だ 駱駝 ラクだ rakuda lakuda ラッキーだ ラクーナ cascada パラグーダ 桜 うどん 爆弾 名札 下 なく マクド 蒔田 	200	0
ゴリラ	Gorilla	http://www.thingiverse.com/download:342928	ゴリラ gorilla ごりら 5lira ５リラ 氷だ コーヒーだ おや	200	0
ぶた	Pig	http://www.thingiverse.com/download:343096	ぶた 豚 pig buta ブッタ 仏陀 ブッダ buddha みた ブータ ですか ピーター 雄太  データ 出た 歌 んだ 電波 梅田 見た いた	200	0
うま	Horse	http://www.thingiverse.com/download:343048	うま 馬 horse uma ウマ 午 宇摩 右馬 今 ですか ん	200	0
シカ	Deer	http://www.thingiverse.com/download:342894	歯科 しか シカ 鹿 市価 史家 紙価 詩歌 shika 着いた すいた siita 強い風 進化 ちか シルバー 痴漢 滋賀 時間 シーカー シリカ 	200	0
リス	Squirrel	http://www.thingiverse.com/download:343141	リス りす 栗鼠 利す risu リリース ミス です ピース 店 理数 5 リース 水 This 	200	0
ライオン	Lion	http://www.thingiverse.com/download:343066	ライオン らいおん ライオん raion lion 「 はよん らいよん なよ ライアン 	200	0
イグアナ	Iguana	http://www.thingiverse.com/download:343057	イグアナ イグアな 伊具あな iguana 飯食うな いいクーラーな 陸棚 いかな 	200	0
うさぎ	Rabbit	http://www.thingiverse.com/download:343103	うさぎ ウサギ 兎 兔 	200	0
くま	Bear	http://www.thingiverse.com/download:342824	くま 熊 クマ 隈 久万 球磨 組ま kuma 風間 船 妻 久原 雲 	200	0
へび	Snake	http://www.thingiverse.com/download:343243	へび 蛇 ヘビ hebi snake Ap ap KB ヘビー 笑 AB 恵比寿 	200	0
とら	Tiger	http://www.thingiverse.com/download:343177	とら 虎 トラ 寅 撮ら tora tiger 俺 裏 通ら どら 円 トラップ Buona ドラ そうだ ドラ	200	0
あらいぐま	Raccoon	http://www.thingiverse.com/download:343274	あらいぐま アライグマ araiguma 	200	0
うし	Cow	http://www.thingiverse.com/download:342883	うし 牛 う歯 ウシ 丑 齲歯 憂し usi cow よし むし 虫 むーし 西 大人 私 グーシー  にし 漆 石 西 	200	0
ヒョウ	Leopard	http://www.thingiverse.com/download:343065	表 票 評 ヒョウ 雹 豹 氷 彪 ひょう hyou 兵衛 兵部 卿 平 今日 翔 勝負 笑 表 	200	0
カピバラ	Capybara	http://www.thingiverse.com/download:342850	カピバラ かぴばら kapibara capibara RTバーラ いいから 各務原 薔薇 ピザーラ 在原 	200	0
ネズミ	Mouse	http://www.thingiverse.com/download:343071	ねずみ ネズミ 鼠 鼡 寝ず身 nezumi mouse Zoome に入れ墨 年数に 湖 愛 泉 	200	0
ひつじ	Sheep	http://www.thingiverse.com/download:343265	ひつじ 羊 未 ヒツジ hitsuzi hitsuzi 7時 執事 比叡辻 42g 生数字 数字 1 C2氏 強い数字 つつじ 定時 9時ステージ 	200	0
たぬき	Raccoondog	http://www.thingiverse.com/download:343109	たぬき 狸 タヌキ 田貫 貍 tanuki rh 人気 歯茎 RT ゆうき 兄貴 短期 任期	200	0
コアラ	Koala	http://www.thingiverse.com/download:343275	こあら コアラ 子あら koara coara 上原 高アール 終わら 大原 お笑い 公安 コール 笑 小原 河原 	200	0
キツネ	Fox	http://www.thingiverse.com/download:342917	きつね キツね キツネ 狐 吃ね 吉ね kitsune fox つね シーツーね キーツね 爪 すね 	200	0
パンダ	Panda	http://www.thingiverse.com/download:343077	パンダ パンだ 班だ 犯だ 班だ 版だ 判だ 潘だ ぱんだ panda 安打 たんだ なんだ 羽田 んだ たんです たんだ 	200	0
オランウータン	Orangutan	http://www.thingiverse.com/download:343074	おらんうーたん オランウータン オランウータん orannuutan orangutanan orangoutang オラウータン もらうと やぐたん なう アフター 	200	0
サル	Monkey	http://www.thingiverse.com/download:343069	さる 猿 申 サル 沙流 去る 然る saru monkey サール 下がる サーブ ある  3 	200	0
サイ	Rhino	http://www.thingiverse.com/download:343113	さい 才 際 歳 差異 サイ 祭 sai かわいい サーリー 西 	200	0
つばめ	Swallow	http://www.thingiverse.com/download:343149	つばめ ツバメ 燕 唾め 鍔め tsubame スバメ スーパーね Supercell 場面	200	0
カラス	Crow	http://www.thingiverse.com/download:342891	 からす 刈らす 苅らす 狩らす 猟らす 猟らす 駆らす カラス karasu 枯らす ガラス バランス です 	200	0
うぐいす	Warbler	http://www.thingiverse.com/download:343192	うぐいす 鶯 鴬 ウグイス ウグイす uguisu いいです フリース Zzzいーす Wings ルイス です 	200	0
ダチョウ	Ostrich	http://www.thingiverse.com/download:343075	ダチョウ だちょう 駝鳥 dachou datyou 体調 社長 大丈夫 田町 野鳥 座長 大町 隊長 課長	200	0
はと	Dove	http://www.thingiverse.com/download:342909	はと 鳩 ハト 歯と 葉と 派と 刃と hato pigeon Sad あと カット アート あと と	200	0
にわとり	Chiken	http://www.thingiverse.com/download:342860	にわとり 鶏 鷄 ニワトリ 庭とり niwatori chicken 新通り いいわより にいいまくり に1回通 野鳥 名取 	200	0
たか	Hawk	http://www.thingiverse.com/download:342929	たか 鷹 高 多価 多可 多寡 他科 taka タカ ばーか 方 たた 馬鹿 だった 何か	200	0
つる	Crane	http://www.thingiverse.com/download:342885	つる 鶴 ツル 蔓 釣る 弦 都留 水流 tsuru tsulu turu tulu セール する ツール フル する される 	200	0
ペリカン	Pelican	http://www.thingiverse.com/download:343278	ぺりかん ペリカん perikan perlican perican pelikan エリーカーム エリカ えりか えりかん デリータ ゲーリー Adr AB間 エリカん ペリカン	200	0
フクロウ	Owl	http://www.thingiverse.com/download:343076	フクロウ ふくろう 梟 袋う hukurou fukurou  ブログ 富久栄楼 イクロー 二郎 風々楼 黒 腹腔鏡 風呂 苦労 kuuroo 風kuuroo ブクログ ふくろ 苦労 Chrome 黒 グロール 	200	0
カワセミ	Atthis	http://www.thingiverse.com/download:342818	かわせみ カワセミ 川蝉 川蟬 飼わせみ 為替み kawasemi は正義 は清見 整理 翡翠 合わせる おやすみ	200	0
すずめ	Sparrow	http://www.thingiverse.com/download:343138	すずめ 雀 スズメ 涼め 鈴め suzume 清水ね 清水 爪 	200	0
フラミンゴ	Flamingo	http://www.thingiverse.com/download:342914	フラミンゴ ふらみんご 降ら民御 huramingo furamingo noorani ブラーニー 恨み 南 上	200	0
カニ	Crab	http://www.thingiverse.com/download:342884	かに 科に 化に カニ 蟹 可児 下に 課に kani cani 上 家に カーニ 何 変わり あに 兄 2 アンディ 管理 	200	0
サメ	Shark	http://www.thingiverse.com/download:343266	さめ サメ 鮫 佐目 覚め 冷め 醒め 褪め 褪め same shark 雨 3ね サーメ 雨 さぁね サロメ Sale 	200	0
タツノオトシゴ	Seahorse	http://www.thingiverse.com/download:343271	たつのおとしご タツノオトシゴ tatsunootosigo tatsunootoshigo いつも落とし子 たつの遅しご 	200	0
クラゲ	Jellyfish	http://www.thingiverse.com/download:343059	くらげ クラゲ 海月 水母 暗げ 暗気 くら気 kurage kulage フラゲ  	200	0
まきがい	Spiralshell	http://www.thingiverse.com/download:343261	まきがい 巻貝 巻き貝 マキガイ makigai 間違い 巻き紙 巻紙 マーキーかわいい 巻き髪 ワキガ 	200	0
かい	Clam	http://www.thingiverse.com/download:342877	蛤 ハマグリ 蚌 はまぐり hamaguri hamaguli かい 回 会 階 貝 解 界 買い 下位 飼い 甲斐 介 カイ kai かわいい 会議 はい 海 可愛い	200	0
イカ	Cuttlefish	http://www.thingiverse.com/download:342892	いか 以下 イカ 医科 異化 易化 伊香 烏賊 伊香 ika ica squid いいか か	200	0
かめ	Turtle	http://www.thingiverse.com/download:343186	かめ 亀 カメ 瓶 噛め 咬め 嚼め 缸 kame came 神戸 かね 雨 仮面 	200	0
シーラカンス	Coelacanth	http://www.thingiverse.com/download:342879	シーラカンス しーらかんす siirakansu  	200	0
ピラニア	Piranha	http://www.thingiverse.com/download:343099	ピラニア ぴらにあ pirania pilania piranha ぴら庭 e-learning がにゃ 	200	0
アシカ	Sealion	http://www.thingiverse.com/download:343268	アシカ あしか 海驢 足か 脚か アシか 葦か ashika asika もしか 話か 腰か 明日 あ歯科 楽しいか はしか 麻疹 か歯科 ますか なしか 確か 嵐 足が 明日は 	200	0
アジ	Horsemackerel	http://www.thingiverse.com/download:343049	あじ 味 アジ 阿字 庵治 鯵 鰺 aji azi マジ マージ マーチ 嵐 北風 	200	0
マンボウ	Sunfish	http://www.thingiverse.com/download:343247	マンボウ まんぼう 翻車魚 マンボう manbou manbow Mambous マンゴー マルゴー マンボー まんこ ランボー マンゴ	200	0
ワニ	Crocodile	http://www.thingiverse.com/download:342887	わに 和に 輪に ワニ 鰐 和爾 和迩 倭に 環に 和邇 wani crocodile alligator 2 悪 はりー 悪い ワン 	200	0
イルカ	Dolphin	http://www.thingiverse.com/download:342908	いるか イルカ 海豚 居るか 要るか 鋳るか 射るか 煎るか 入るか 炒るか iruka 入れた ディルーカ	200	0
いわし	Sardine	http://www.thingiverse.com/download:343272	いわし イワシ 鰯 鰮 言わし 云わし 謂わし iwashi iwasi 東 リバーシ よし	200	0
マグロ	Tuna	http://www.thingiverse.com/download:343185	まぐろ マグロ 鮪 maguro Muro 通路 マークよ ・ マーク 0	200	0
カツオ	Bonito	http://www.thingiverse.com/download:342828	鰹 かつお カツオ 勝男 堅魚 松魚 賀津夫 克夫 勝夫 katsuo ka2o 活動 割を 活用 活魚 河津お 学校 活魚	200	0
ヒトデ	Starfish	http://www.thingiverse.com/download:343238	ひとで 人で ヒトで 一で 壱で １で 1で 人手 人出 海星 ヒトデ hitode 水痘で ひー、 私、 そうで 40で し、 遠出 伊藤で 後で 1ね ので 	200	0
アメフラシ	Anapsidea	http://www.thingiverse.com/download:342823	雨降らし 飴降らし あめふらし アメフラシ amehfurashi amehurashi	200	0
オットセイ	Seal	http://www.thingiverse.com/download:343270	オットセイ おっとせい 膃肭臍 夫製 ottosei ポセイ 統制 土星 落とせ 	200	0
ペンギン	Penguin	http://www.thingiverse.com/download:343093	ペンギン ぺんぎん pengin penguin 転勤 ヘンリー amp 天気	200	0
おたまじゃくし	Tadpole	http://www.thingiverse.com/download:343173	おたまじゃくし オタマジャクシ お玉杓子 お玉じゃくし otamajakusi otamajakushi 浜崎 玉じゃくし ウォルター氏 	200	0
アンモナイト	Ammonite	http://www.thingiverse.com/download:342816	アンモナイト あんもないと 案もないと anmonaito ammonite ワンモナイト night Am 危ない 	200	0
マンモス	Mammoth	http://www.thingiverse.com/download:343067	マンモス まんもす 万もす manmosu mammoth 	200	0
ツチノコ	Tutinoko	http://www.thingiverse.com/download:343188	つちのこ ツチノコ 土の子 tsutinoko tsuchinoko tsuchinoco スーチー濃厚 内蒙古 	200	0
ペガサス	Pegasus	http://www.thingiverse.com/download:343081	ペガサス ペガさす ぺがさす pegasasu pegasus vs Vs 	200	0
ケンタウロス	Centaur	http://www.thingiverse.com/download:342855	けんたうろす ケンタウロス 健太迂路す 堅太迂路す kentaurosu centaurus	200	0
りゅう	Dragon	http://www.thingiverse.com/download:342910	りゅう 竜 流 龍 留 柳 粒 ryuu ryu ドラゴン どらごん dragon 理由 You ぎゅー ゆ ゆう 9 (有) 有 ニュー You 	200	0
ユニコーン	Unicorn	http://www.thingiverse.com/download:343190	ゆにこーん ユニコーン unicorn yunikoon ユニフォーム u字溝 見に行こう ウィルコム 	200	0
にんぎょ	Mermaid	http://www.thingiverse.com/download:343068	人魚 にんぎょ ニンギョ 任魚 ningyo mermaid まーめいど マーメイド まー明度 人形 インド 人数 人間 	200	0
トリケラトプス	Triceratops	http://www.thingiverse.com/download:343181	トリケラトプス とりけらとぷす トリケラトプす torikeratopusu  triceratops とりケラトプス	200	0
おばけ	Ghost	http://www.thingiverse.com/download:342922	おばけ お化け オバケ 叔母け 小母け 伯母け オバけ obake ゴースト ごーすと goosuto ghost だっけ 酒 	200	0
あぎょう	DevakingA	http://www.thingiverse.com/download:342896	今日 あぎょう ア行 あ行 アギョウ  ジョーブ 環境 東京 行 仁王像	200	0
うんぎょう	DevakingU	http://www.thingiverse.com/download:342903	うんぎょう 運業 ウンギョウ 分校 刑部 分業 笑 運輸業 仁王像 人形 ん事業部 	200	0
だいぶつ	Buddha	http://www.thingiverse.com/download:342840	鎌倉の大仏 かまくらの大仏 カマクラの大仏 だいぶつ 大仏 daibutu daibutsu	200	0
ヘラクレスオオカブト	Hercules	http://www.thingiverse.com/download:342992	ヘラクレスオオカブト ヘラクレス大株と へらくれすおおかぶと 開くでしょうか 日が暮れそう ヘラクレスを買う ヘラクレス株 ヘラクレス大甲 楽でしょうか ヘラクレス他 ヘラクレスおか ヘラクレスオカルト	200	0
カエル	Frog	http://www.thingiverse.com/download:342921	 カエル 返る かえる 帰る 買える 換える 替える 代える 飼える kaeru 顔える かーえーる エール 会える ファイル メール 	200	0
カブトムシ	Beetle	http://www.thingiverse.com/download:342825	かぶとむし カブトムシ カブト虫 かぶと虫 甲虫  kabutomushi 14 なし 早くないし	200	0
カメレオン	Chamaeleo	http://www.thingiverse.com/download:342859	カメレオン かめれおん 噛めれオン kamereon 亀よー 投げ入れよう 	200	0
クワガタ	Stagbeetle	http://www.thingiverse.com/download:343146	クワガタ 桑が他 くわがた kuwagata バーガー 上方 県 永田 	200	0
ティラノサウルス	Tyrannosaurus	http://www.thingiverse.com/download:343189	ティラノサウルス てぃらのさうるす Tyrannosaurus 平野サウルス 7サウルス 平野さんです ティラノザウルス 	200	0
クジラ	Whale	http://www.thingiverse.com/download:343193	くじら クジラ 鯨 櫛羅 久次良 久白 抉ら kujira kujila kuzira kuzila シーラー 	200	0
ムカデ	Centipede	http://www.thingiverse.com/download:342858	むかで ムカデ 百足 蜈蚣 無かで mukade 風 カード カール 浮かべ 中部 壁 カフェ 中で 	200	0
セミ	Cicada	http://www.thingiverse.com/download:342862	せみ セミ 蝉 蟬 semi 生命 セブン Same ゼミ 笑 1,002 すみ 	200	0
トビウオ	Flyingfish	http://www.thingiverse.com/download:342916	とびうお トビウオ 飛び魚 飛魚 tobiuo 装備uo odnを OBuo びろう	200	0
ひこうき	Plane	http://www.thingiverse.com/download:343100	ひこうき 飛行機 ヒコウキ hikouki 日航空機 後期 	200	0
エイ	Ray	http://www.thingiverse.com/download:343110	えい エイ ei 英 栄 詠 海鷂魚 ae Aa いい 1	200	0
たこ	Octopus	http://www.thingiverse.com/download:343073	たこ タコ 凧 蛸 胼胝 章魚 鮹 多古 tako ( 箱 パー子 あほ 	200	0
かたつむり	Snail	http://www.thingiverse.com/download:343132	かたつむり カタツムリ 蝸牛 下達無理 katatsumuri 型番 厚塗り 達成 	200	0
Yahoo!	Yahoo	http://www.thingiverse.com/download:342795	ヤフー yahoo やーふー ヤフージャパン yahoo japan 夜 Yahoo!	200	0
ハエ	Fly	http://www.thingiverse.com/download:342915	はえ ハエ 蠅 蝿 映え 八重 hae 栄え Hey はい アイ ああ ハワイ はーい	200	0
てんとうむし	Ladybird	http://www.thingiverse.com/download:343064	てんとうむし てんとう虫 テントウ虫 天道虫 テントウムシ tentoumushi 14 	200	0
オウム	Parrot	http://www.thingiverse.com/download:343078	おうむ オウム 鸚鵡 雄武 oumu Ω オーム 防衛面 ホーム	200	0
カバ	Hippo	http://www.thingiverse.com/download:342994	かば 椛 庇 樺 蒲 河馬 カバ kaba サーバー 鯖 カーター ハーバー パパ (株) かばん カバー あば	200	0
トンボ	Dragonfly	http://www.thingiverse.com/download:342911	とんぼ トンボ 蜻蛉 tonbow 温度 今日も 春宮坊 訪問後 本田 トンボー	200	0
ちょうちょ	Butterfly	http://www.thingiverse.com/download:342843	ちょうちょ チョウチョ choucho 町長 蝶々 長調 東京 今日 フォーン 京都 とうきょう 当古町 道女 老女 登場 状況 消去 長女	200	0
さわれる検索	sawarerukensaku	http://www.thingiverse.com/download:343115	さわれる検索 さわれるけんさく われる検査 触れる検索 割れる件 触れる 買われる 買われる検索 アレルゲン 流れる 触れる sawarerukensaku	200	0
サッカーボール	soccerBall	http://www.thingiverse.com/download:343264	サッカーボール さっかーぼーる soccer soccerball サッカーゴール あほ 今ゴール あほ	200	0
鬼	Demon	http://www.thingiverse.com/download:342895	鬼 おに オニ oni オンニ のに 2 	200	0
ブランコ	Swing	http://www.thingiverse.com/download:343169	ブランコ ぶらんこ buranko ブラウン ウラン ブラン	200	0
チューリップ	Tulip	http://www.thingiverse.com/download:343184	チューリップ ちゅーりっぷ 修理 釣り きゅうり 注意 ユーリ 	200	0
ジンベイザメ	Whaleshark	http://www.thingiverse.com/download:343194	ジンベイザメ じんべいざめ jinbeizame 眠れ 目覚め シーレーザーね ジンベエザメ	200	0
キタキツネ	Redfox	http://www.thingiverse.com/download:343111	キタキツネ きたきつね redfox	200	0
鳥居	Torii	http://www.thingiverse.com/download:343178	鳥居 とりい torii トリイ	200	0
三葉虫	Trilobite	http://www.thingiverse.com/download:343182	三葉虫 さんようちゅう サンヨウチュウ trilobite	200	0
エリマキトカゲ	Frilledlizard	http://www.thingiverse.com/download:342919	エリマキトカゲ 襟巻とかげ えりまきとかげ frilledlizard	200	0
阿弥陀如来	Amitaabha	http://www.thingiverse.com/download:342321	阿弥陀如来 あみだにょらい アミダニョライ	200	0
ブルドッグ	Bulldog	http://www.thingiverse.com/download:342841	ぶるどっぐ ぶるどっく bulldog ブルドッグ ブルドック 	200	0
ミニチュアダックスフンド	Dachshund	http://www.thingiverse.com/download:342893	ミニチュアダックスフンド みにちゅあだっくすふんど ダックス ミニチュアダックスフント 	200	0
金閣寺	Kinkakuji	http://www.thingiverse.com/download:343061	金閣寺 銀閣寺 きんかくじ キンカクジ 金閣陣 kinkakuji	200	0
富士山	MtFuji	http://www.thingiverse.com/download:343072	富士山 ふじさん 藤さん 不二さん フジヤマ ふじやま mountfuji	200	0
孔雀	Peafowl	http://www.thingiverse.com/download:343080	クジャク くじゃく 孔雀 九尺 ９弱	200	0
キツツキ	Piciformes	http://www.thingiverse.com/download:343094	キツツキ 啄木鳥 きつつき つつき	200	0
プードル	Poodle	http://www.thingiverse.com/download:343101	プードル ぷーどる poodle	200	0
猪	Wildboar	http://www.thingiverse.com/download:343195	猪 いのしし イノシシ 亥 猯 	200	0
千手観音	ThousandarmedKannon	http://www.thingiverse.com/download:343176	千手観音 せんじゅかんのん センジュカンノン ThousandarmedKannon	200	0
出雲大社	IzumoShrine	http://www.thingiverse.com/download:343058	出雲大社 いずもたいしゃ イズモタイシャ いずものおおやしろ イズモノオオヤシロ IzumoShrine 境内 神社 けいだい じんじゃ ケイダイ ジンジャ keidai jinja	200	0
ヒヨコ	Chick	http://www.thingiverse.com/download:343211	ヒヨコ ひよこ hiyoko chick 雛 	200	0
ナポレオンフィッシュ	Napoleonfish	http://www.thingiverse.com/download:343223	ナポレオンフィッシュ なぽれおんふぃっしゅ sapoleonfish	200	0
ノコギリザメ	Sawshark	http://www.thingiverse.com/download:343224	ノコギリザメ のこぎりざめ sawshark 鋸鮫 ノコギリさめ	200	0
サソリ	Scorpion	http://www.thingiverse.com/download:343225	サソリ さそり scorpion 蠍 螺蠃 蝎	200	0
頭蓋骨	Skull	http://www.thingiverse.com/download:343227	頭蓋骨 頭がい骨 ずがいこつ ズガイコツ skull 骸骨 ガイコツ がい骨 がいこつ 	200	0
凱旋門	Arcdetriomphe	http://www.thingiverse.com/download:343209	凱旋門 がいせんもん ガイセンモン Arcdetriomphe	200	0
F1	F1	http://www.thingiverse.com/download:343219	F1 えふわん エフワン えふあん え不安	200	0
日本	Japan	http://www.thingiverse.com/download:343220	日本 にっぽん ニッポン にほん ニホン じゃぱん ジャパン JAPAN nippon 一本 1本 2本 二本 日本列島 にっぽんれっとう ニッポンレットウ	200	0
蚊	Culex	http://www.thingiverse.com/download:343215	蚊	200	0
エッフェル塔	EiffelTower	http://www.thingiverse.com/download:343216	エッフェル塔	200	0
メスライオン	Lioness	http://www.thingiverse.com/download:343221	メスライオン	200	0
スフィンクス	Sphinx	http://www.thingiverse.com/download:343228	スフィンクス	200	0